,aflpp,funfuzz,funfuzz-delta,funfuzz-static,funfuzz-static-delta,fairfuzz,fairfuzz-delta,aflgo,aflgo-delta
cxxfilt,4546.16,4557.2,0.24,4545.45,-0.02,4362.1,-4.05,4163.1,-8.43
nm-new,5609.1,5731.65,2.18,5632.8,0.42,5480.25,-2.3,5265.3,-6.13
objdump,8297.1,9080.15,9.44,8400.5,1.25,7631.05,-8.03,8751.9,5.48
readelf,14333.1,14958.95,4.37,14342.35,0.06,14535.05,1.41,14603.9,1.89
djpeg,3441.45,3611.45,4.94,3496.1,1.59,3431.45,-0.29,3271.8,-4.93
readpng,1617.7,1685.4,4.18,1650.15,2.01,1634.65,1.05,1611.25,-0.4
mjs,2709.55,2824.5,4.24,2763.2,1.98,2524.35,-6.84,2574.1,-5.0
mutool,3876.75,3881.15,0.11,3877.2,0.01,3865.25,-0.3,,
xmllint,8385.85,9926.74,18.37,9002.4,7.35,10160.6,21.16,7265.6,-13.36
tcpdump,17481.95,18610.6,6.46,17898.35,2.38,18616.2,6.49,15071.7,-13.79
