,time,region_total,region_miss,region_cov,region_rate,trial_id,fuzzer,benchmark,edges_covered
0,0,14072,11051,3021,21.47,1,funfuzz,libpng_read_fuzzer,3021
1,900,14072,10703,3369,23.94,1,funfuzz,libpng_read_fuzzer,3369
2,1800,14072,10690,3382,24.03,1,funfuzz,libpng_read_fuzzer,3382
3,2700,14072,10686,3386,24.06,1,funfuzz,libpng_read_fuzzer,3386
4,3600,14072,10672,3400,24.16,1,funfuzz,libpng_read_fuzzer,3400
5,4500,14072,10557,3515,24.98,1,funfuzz,libpng_read_fuzzer,3515
6,5400,14072,10550,3522,25.03,1,funfuzz,libpng_read_fuzzer,3522
7,6300,14072,10513,3559,25.29,1,funfuzz,libpng_read_fuzzer,3559
8,7200,14072,10513,3559,25.29,1,funfuzz,libpng_read_fuzzer,3559
9,8100,14072,10513,3559,25.29,1,funfuzz,libpng_read_fuzzer,3559
10,9000,14072,10513,3559,25.29,1,funfuzz,libpng_read_fuzzer,3559
11,9900,14072,10513,3559,25.29,1,funfuzz,libpng_read_fuzzer,3559
12,10800,14072,10513,3559,25.29,1,funfuzz,libpng_read_fuzzer,3559
13,11700,14072,10513,3559,25.29,1,funfuzz,libpng_read_fuzzer,3559
14,12600,14072,10512,3560,25.3,1,funfuzz,libpng_read_fuzzer,3560
15,13500,14072,10512,3560,25.3,1,funfuzz,libpng_read_fuzzer,3560
16,14400,14072,10512,3560,25.3,1,funfuzz,libpng_read_fuzzer,3560
17,15300,14072,10512,3560,25.3,1,funfuzz,libpng_read_fuzzer,3560
18,16200,14072,10512,3560,25.3,1,funfuzz,libpng_read_fuzzer,3560
19,17100,14072,10512,3560,25.3,1,funfuzz,libpng_read_fuzzer,3560
20,18000,14072,10512,3560,25.3,1,funfuzz,libpng_read_fuzzer,3560
21,18900,14072,10512,3560,25.3,1,funfuzz,libpng_read_fuzzer,3560
22,19800,14072,10512,3560,25.3,1,funfuzz,libpng_read_fuzzer,3560
23,20700,14072,10512,3560,25.3,1,funfuzz,libpng_read_fuzzer,3560
24,21600,14072,10512,3560,25.3,1,funfuzz,libpng_read_fuzzer,3560
25,22500,14072,10512,3560,25.3,1,funfuzz,libpng_read_fuzzer,3560
26,23400,14072,10512,3560,25.3,1,funfuzz,libpng_read_fuzzer,3560
27,24300,14072,10512,3560,25.3,1,funfuzz,libpng_read_fuzzer,3560
28,25200,14072,10512,3560,25.3,1,funfuzz,libpng_read_fuzzer,3560
29,26100,14072,10512,3560,25.3,1,funfuzz,libpng_read_fuzzer,3560
30,27000,14072,10512,3560,25.3,1,funfuzz,libpng_read_fuzzer,3560
31,27900,14072,10512,3560,25.3,1,funfuzz,libpng_read_fuzzer,3560
32,28800,14072,10512,3560,25.3,1,funfuzz,libpng_read_fuzzer,3560
33,29700,14072,10495,3577,25.42,1,funfuzz,libpng_read_fuzzer,3577
34,30600,14072,10495,3577,25.42,1,funfuzz,libpng_read_fuzzer,3577
35,31500,14072,10495,3577,25.42,1,funfuzz,libpng_read_fuzzer,3577
36,32400,14072,10495,3577,25.42,1,funfuzz,libpng_read_fuzzer,3577
37,33300,14072,10495,3577,25.42,1,funfuzz,libpng_read_fuzzer,3577
38,34200,14072,10495,3577,25.42,1,funfuzz,libpng_read_fuzzer,3577
39,35100,14072,10495,3577,25.42,1,funfuzz,libpng_read_fuzzer,3577
40,36000,14072,10495,3577,25.42,1,funfuzz,libpng_read_fuzzer,3577
41,36900,14072,10495,3577,25.42,1,funfuzz,libpng_read_fuzzer,3577
42,37800,14072,10495,3577,25.42,1,funfuzz,libpng_read_fuzzer,3577
43,38700,14072,10495,3577,25.42,1,funfuzz,libpng_read_fuzzer,3577
44,39600,14072,10491,3581,25.45,1,funfuzz,libpng_read_fuzzer,3581
45,40500,14072,10491,3581,25.45,1,funfuzz,libpng_read_fuzzer,3581
46,41400,14072,10491,3581,25.45,1,funfuzz,libpng_read_fuzzer,3581
47,42300,14072,10491,3581,25.45,1,funfuzz,libpng_read_fuzzer,3581
48,43200,14072,10491,3581,25.45,1,funfuzz,libpng_read_fuzzer,3581
49,44100,14072,10491,3581,25.45,1,funfuzz,libpng_read_fuzzer,3581
50,45000,14072,10491,3581,25.45,1,funfuzz,libpng_read_fuzzer,3581
51,45900,14072,10491,3581,25.45,1,funfuzz,libpng_read_fuzzer,3581
52,46800,14072,10491,3581,25.45,1,funfuzz,libpng_read_fuzzer,3581
53,47700,14072,10483,3589,25.5,1,funfuzz,libpng_read_fuzzer,3589
54,48600,14072,10483,3589,25.5,1,funfuzz,libpng_read_fuzzer,3589
55,49500,14072,10483,3589,25.5,1,funfuzz,libpng_read_fuzzer,3589
56,50400,14072,10483,3589,25.5,1,funfuzz,libpng_read_fuzzer,3589
57,51300,14072,10483,3589,25.5,1,funfuzz,libpng_read_fuzzer,3589
58,52200,14072,10483,3589,25.5,1,funfuzz,libpng_read_fuzzer,3589
59,53100,14072,10483,3589,25.5,1,funfuzz,libpng_read_fuzzer,3589
60,54000,14072,10483,3589,25.5,1,funfuzz,libpng_read_fuzzer,3589
61,54900,14072,10483,3589,25.5,1,funfuzz,libpng_read_fuzzer,3589
62,55800,14072,10471,3601,25.59,1,funfuzz,libpng_read_fuzzer,3601
63,56700,14072,10471,3601,25.59,1,funfuzz,libpng_read_fuzzer,3601
64,57600,14072,10471,3601,25.59,1,funfuzz,libpng_read_fuzzer,3601
65,58500,14072,10471,3601,25.59,1,funfuzz,libpng_read_fuzzer,3601
66,59400,14072,10471,3601,25.59,1,funfuzz,libpng_read_fuzzer,3601
67,60300,14072,10471,3601,25.59,1,funfuzz,libpng_read_fuzzer,3601
68,61200,14072,10471,3601,25.59,1,funfuzz,libpng_read_fuzzer,3601
69,62100,14072,10471,3601,25.59,1,funfuzz,libpng_read_fuzzer,3601
70,63000,14072,10471,3601,25.59,1,funfuzz,libpng_read_fuzzer,3601
71,63900,14072,10469,3603,25.6,1,funfuzz,libpng_read_fuzzer,3603
72,64800,14072,10469,3603,25.6,1,funfuzz,libpng_read_fuzzer,3603
73,65700,14072,10469,3603,25.6,1,funfuzz,libpng_read_fuzzer,3603
74,66600,14072,10469,3603,25.6,1,funfuzz,libpng_read_fuzzer,3603
75,67500,14072,10469,3603,25.6,1,funfuzz,libpng_read_fuzzer,3603
76,68400,14072,10469,3603,25.6,1,funfuzz,libpng_read_fuzzer,3603
77,69300,14072,10469,3603,25.6,1,funfuzz,libpng_read_fuzzer,3603
78,70200,14072,10469,3603,25.6,1,funfuzz,libpng_read_fuzzer,3603
79,71100,14072,10469,3603,25.6,1,funfuzz,libpng_read_fuzzer,3603
80,72000,14072,10469,3603,25.6,1,funfuzz,libpng_read_fuzzer,3603
81,72900,14072,10469,3603,25.6,1,funfuzz,libpng_read_fuzzer,3603
82,73800,14072,10469,3603,25.6,1,funfuzz,libpng_read_fuzzer,3603
83,74700,14072,10469,3603,25.6,1,funfuzz,libpng_read_fuzzer,3603
