,trial_id,project,fuzzer,target,find_type,bug,time,timestamp
0,1,sqlite3,funfuzz,sqlite3_fuzz,reached,SQL014,1115,1718695085.6039495
1,2,sqlite3,funfuzz,sqlite3_fuzz,reached,SQL014,3065,1718695085.6039495
2,3,sqlite3,funfuzz,sqlite3_fuzz,reached,SQL014,1920,1718695085.6039495
3,4,sqlite3,funfuzz,sqlite3_fuzz,reached,SQL014,1745,1718695085.6039495
4,5,sqlite3,funfuzz,sqlite3_fuzz,reached,SQL014,795,1718695085.6039495
5,6,sqlite3,funfuzz,sqlite3_fuzz,reached,SQL014,2005,1718695085.6039495
6,7,sqlite3,funfuzz,sqlite3_fuzz,reached,SQL014,7160,1718695085.6039495
7,8,sqlite3,funfuzz,sqlite3_fuzz,reached,SQL014,1665,1718695085.6039495
8,9,sqlite3,funfuzz,sqlite3_fuzz,reached,SQL014,5650,1718695085.6039495
9,10,sqlite3,funfuzz,sqlite3_fuzz,reached,SQL014,1535,1718695085.6039495
10,11,sqlite3,funfuzz,sqlite3_fuzz,reached,SQL014,2695,1718695085.6039495
11,12,sqlite3,funfuzz,sqlite3_fuzz,reached,SQL014,11975,1718695085.6039495
12,13,sqlite3,funfuzz,sqlite3_fuzz,reached,SQL014,655,1718695085.6039495
13,14,sqlite3,funfuzz,sqlite3_fuzz,reached,SQL014,690,1718695085.6039495
14,15,sqlite3,funfuzz,sqlite3_fuzz,reached,SQL014,2405,1718695085.6039495
15,16,sqlite3,funfuzz,sqlite3_fuzz,reached,SQL014,7160,1718695085.6039495
16,17,sqlite3,funfuzz,sqlite3_fuzz,reached,SQL014,5740,1718695085.6039495
17,18,sqlite3,funfuzz,sqlite3_fuzz,reached,SQL014,1330,1718695085.6039495
18,19,sqlite3,funfuzz,sqlite3_fuzz,reached,SQL014,2985,1718695085.6039495
19,20,sqlite3,funfuzz,sqlite3_fuzz,reached,SQL014,195,1718695085.6039495
20,1,sqlite3,funfuzz,sqlite3_fuzz,triggered,SQL014,43520,1718695085.6039495
21,2,sqlite3,funfuzz,sqlite3_fuzz,triggered,SQL014,29390,1718695085.6039495
22,3,sqlite3,funfuzz,sqlite3_fuzz,triggered,SQL014,21505,1718695085.6039495
23,4,sqlite3,funfuzz,sqlite3_fuzz,triggered,SQL014,3995,1718695085.6039495
24,5,sqlite3,funfuzz,sqlite3_fuzz,triggered,SQL014,1650,1718695085.6039495
25,6,sqlite3,funfuzz,sqlite3_fuzz,triggered,SQL014,29920,1718695085.6039495
26,7,sqlite3,funfuzz,sqlite3_fuzz,triggered,SQL014,8035,1718695085.6039495
27,8,sqlite3,funfuzz,sqlite3_fuzz,triggered,SQL014,1735,1718695085.6039495
28,9,sqlite3,funfuzz,sqlite3_fuzz,triggered,SQL014,30635,1718695085.6039495
29,10,sqlite3,funfuzz,sqlite3_fuzz,triggered,SQL014,31300,1718695085.6039495
30,11,sqlite3,funfuzz,sqlite3_fuzz,triggered,SQL014,2805,1718695085.6039495
31,12,sqlite3,funfuzz,sqlite3_fuzz,triggered,SQL014,25950,1718695085.6039495
32,13,sqlite3,funfuzz,sqlite3_fuzz,triggered,SQL014,7460,1718695085.6039495
