,time,region_total,region_miss,region_cov,region_rate,trial_id,fuzzer,benchmark,edges_covered
0,0,73428,70641,2787,3.8,1,aflpp,cxxfilt,2787
1,900,73428,69761,3667,4.99,1,aflpp,cxxfilt,3667
2,1800,73428,69459,3969,5.41,1,aflpp,cxxfilt,3969
3,2700,73428,69342,4086,5.56,1,aflpp,cxxfilt,4086
4,3600,73428,69232,4196,5.71,1,aflpp,cxxfilt,4196
5,4500,73428,69194,4234,5.77,1,aflpp,cxxfilt,4234
6,5400,73428,69185,4243,5.78,1,aflpp,cxxfilt,4243
7,6300,73428,69105,4323,5.89,1,aflpp,cxxfilt,4323
8,7200,73428,69091,4337,5.91,1,aflpp,cxxfilt,4337
9,8100,73428,69085,4343,5.91,1,aflpp,cxxfilt,4343
10,9000,73428,69081,4347,5.92,1,aflpp,cxxfilt,4347
11,9900,73428,69079,4349,5.92,1,aflpp,cxxfilt,4349
12,10800,73428,69079,4349,5.92,1,aflpp,cxxfilt,4349
13,11700,73428,69029,4399,5.99,1,aflpp,cxxfilt,4399
14,12600,73428,69009,4419,6.02,1,aflpp,cxxfilt,4419
15,13500,73428,69005,4423,6.02,1,aflpp,cxxfilt,4423
16,14400,73428,69005,4423,6.02,1,aflpp,cxxfilt,4423
17,15300,73428,68982,4446,6.05,1,aflpp,cxxfilt,4446
18,16200,73428,68969,4459,6.07,1,aflpp,cxxfilt,4459
19,17100,73428,68968,4460,6.07,1,aflpp,cxxfilt,4460
20,18000,73428,68968,4460,6.07,1,aflpp,cxxfilt,4460
21,18900,73428,68962,4466,6.08,1,aflpp,cxxfilt,4466
22,19800,73428,68961,4467,6.08,1,aflpp,cxxfilt,4467
23,20700,73428,68941,4487,6.11,1,aflpp,cxxfilt,4487
24,21600,73428,68941,4487,6.11,1,aflpp,cxxfilt,4487
25,22500,73428,68941,4487,6.11,1,aflpp,cxxfilt,4487
26,23400,73428,68941,4487,6.11,1,aflpp,cxxfilt,4487
27,24300,73428,68941,4487,6.11,1,aflpp,cxxfilt,4487
28,25200,73428,68932,4496,6.12,1,aflpp,cxxfilt,4496
29,26100,73428,68932,4496,6.12,1,aflpp,cxxfilt,4496
30,27000,73428,68916,4512,6.14,1,aflpp,cxxfilt,4512
31,27900,73428,68916,4512,6.14,1,aflpp,cxxfilt,4512
32,28800,73428,68916,4512,6.14,1,aflpp,cxxfilt,4512
33,29700,73428,68916,4512,6.14,1,aflpp,cxxfilt,4512
34,30600,73428,68916,4512,6.14,1,aflpp,cxxfilt,4512
35,31500,73428,68908,4520,6.16,1,aflpp,cxxfilt,4520
36,32400,73428,68908,4520,6.16,1,aflpp,cxxfilt,4520
37,33300,73428,68908,4520,6.16,1,aflpp,cxxfilt,4520
38,34200,73428,68907,4521,6.16,1,aflpp,cxxfilt,4521
39,35100,73428,68907,4521,6.16,1,aflpp,cxxfilt,4521
40,36000,73428,68907,4521,6.16,1,aflpp,cxxfilt,4521
41,36900,73428,68907,4521,6.16,1,aflpp,cxxfilt,4521
42,37800,73428,68907,4521,6.16,1,aflpp,cxxfilt,4521
43,38700,73428,68907,4521,6.16,1,aflpp,cxxfilt,4521
44,39600,73428,68907,4521,6.16,1,aflpp,cxxfilt,4521
45,40500,73428,68907,4521,6.16,1,aflpp,cxxfilt,4521
46,41400,73428,68907,4521,6.16,1,aflpp,cxxfilt,4521
47,42300,73428,68907,4521,6.16,1,aflpp,cxxfilt,4521
48,43200,73428,68907,4521,6.16,1,aflpp,cxxfilt,4521
49,44100,73428,68907,4521,6.16,1,aflpp,cxxfilt,4521
50,45000,73428,68907,4521,6.16,1,aflpp,cxxfilt,4521
51,45900,73428,68907,4521,6.16,1,aflpp,cxxfilt,4521
52,46800,73428,68894,4534,6.17,1,aflpp,cxxfilt,4534
53,47700,73428,68893,4535,6.18,1,aflpp,cxxfilt,4535
54,48600,73428,68893,4535,6.18,1,aflpp,cxxfilt,4535
55,49500,73428,68893,4535,6.18,1,aflpp,cxxfilt,4535
56,50400,73428,68892,4536,6.18,1,aflpp,cxxfilt,4536
57,51300,73428,68878,4550,6.2,1,aflpp,cxxfilt,4550
58,52200,73428,68878,4550,6.2,1,aflpp,cxxfilt,4550
59,53100,73428,68878,4550,6.2,1,aflpp,cxxfilt,4550
60,54000,73428,68878,4550,6.2,1,aflpp,cxxfilt,4550
61,54900,73428,68878,4550,6.2,1,aflpp,cxxfilt,4550
62,55800,73428,68876,4552,6.2,1,aflpp,cxxfilt,4552
63,56700,73428,68875,4553,6.2,1,aflpp,cxxfilt,4553
64,57600,73428,68866,4562,6.21,1,aflpp,cxxfilt,4562
65,58500,73428,68866,4562,6.21,1,aflpp,cxxfilt,4562
66,59400,73428,68866,4562,6.21,1,aflpp,cxxfilt,4562
67,60300,73428,68866,4562,6.21,1,aflpp,cxxfilt,4562
68,61200,73428,68866,4562,6.21,1,aflpp,cxxfilt,4562
69,62100,73428,68865,4563,6.21,1,aflpp,cxxfilt,4563
70,63000,73428,68865,4563,6.21,1,aflpp,cxxfilt,4563
71,63900,73428,68865,4563,6.21,1,aflpp,cxxfilt,4563
72,64800,73428,68865,4563,6.21,1,aflpp,cxxfilt,4563
73,65700,73428,68865,4563,6.21,1,aflpp,cxxfilt,4563
74,66600,73428,68865,4563,6.21,1,aflpp,cxxfilt,4563
75,67500,73428,68864,4564,6.22,1,aflpp,cxxfilt,4564
76,68400,73428,68863,4565,6.22,1,aflpp,cxxfilt,4565
77,69300,73428,68863,4565,6.22,1,aflpp,cxxfilt,4565
78,70200,73428,68862,4566,6.22,1,aflpp,cxxfilt,4566
79,71100,73428,68862,4566,6.22,1,aflpp,cxxfilt,4566
80,72000,73428,68862,4566,6.22,1,aflpp,cxxfilt,4566
81,72900,73428,68862,4566,6.22,1,aflpp,cxxfilt,4566
82,73800,73428,68862,4566,6.22,1,aflpp,cxxfilt,4566
83,74700,73428,68862,4566,6.22,1,aflpp,cxxfilt,4566
84,75600,73428,68862,4566,6.22,1,aflpp,cxxfilt,4566
85,76500,73428,68862,4566,6.22,1,aflpp,cxxfilt,4566
86,77400,73428,68862,4566,6.22,1,aflpp,cxxfilt,4566
87,78300,73428,68862,4566,6.22,1,aflpp,cxxfilt,4566
88,79200,73428,68860,4568,6.22,1,aflpp,cxxfilt,4568
89,80100,73428,68860,4568,6.22,1,aflpp,cxxfilt,4568
90,81000,73428,68860,4568,6.22,1,aflpp,cxxfilt,4568
91,81900,73428,68860,4568,6.22,1,aflpp,cxxfilt,4568
92,82800,73428,68860,4568,6.22,1,aflpp,cxxfilt,4568
93,83700,73428,68859,4569,6.22,1,aflpp,cxxfilt,4569
94,84600,73428,68859,4569,6.22,1,aflpp,cxxfilt,4569
95,85500,73428,68859,4569,6.22,1,aflpp,cxxfilt,4569
96,86400,73428,68859,4569,6.22,1,aflpp,cxxfilt,4569
0,0,73428,70524,2904,3.95,2,aflpp,cxxfilt,2904
1,900,73428,69607,3821,5.2,2,aflpp,cxxfilt,3821
2,1800,73428,69367,4061,5.53,2,aflpp,cxxfilt,4061
3,2700,73428,69301,4127,5.62,2,aflpp,cxxfilt,4127
4,3600,73428,69180,4248,5.79,2,aflpp,cxxfilt,4248
5,4500,73428,69143,4285,5.84,2,aflpp,cxxfilt,4285
6,5400,73428,69109,4319,5.88,2,aflpp,cxxfilt,4319
7,6300,73428,69045,4383,5.97,2,aflpp,cxxfilt,4383
8,7200,73428,69008,4420,6.02,2,aflpp,cxxfilt,4420
9,8100,73428,69007,4421,6.02,2,aflpp,cxxfilt,4421
10,9000,73428,68971,4457,6.07,2,aflpp,cxxfilt,4457
11,9900,73428,68963,4465,6.08,2,aflpp,cxxfilt,4465
12,10800,73428,68957,4471,6.09,2,aflpp,cxxfilt,4471
13,11700,73428,68948,4480,6.1,2,aflpp,cxxfilt,4480
14,12600,73428,68947,4481,6.1,2,aflpp,cxxfilt,4481
15,13500,73428,68934,4494,6.12,2,aflpp,cxxfilt,4494
16,14400,73428,68920,4508,6.14,2,aflpp,cxxfilt,4508
17,15300,73428,68900,4528,6.17,2,aflpp,cxxfilt,4528
18,16200,73428,68900,4528,6.17,2,aflpp,cxxfilt,4528
19,17100,73428,68896,4532,6.17,2,aflpp,cxxfilt,4532
20,18000,73428,68896,4532,6.17,2,aflpp,cxxfilt,4532
21,18900,73428,68896,4532,6.17,2,aflpp,cxxfilt,4532
22,19800,73428,68894,4534,6.17,2,aflpp,cxxfilt,4534
23,20700,73428,68894,4534,6.17,2,aflpp,cxxfilt,4534
24,21600,73428,68894,4534,6.17,2,aflpp,cxxfilt,4534
25,22500,73428,68893,4535,6.18,2,aflpp,cxxfilt,4535
26,23400,73428,68893,4535,6.18,2,aflpp,cxxfilt,4535
27,24300,73428,68893,4535,6.18,2,aflpp,cxxfilt,4535
28,25200,73428,68878,4550,6.2,2,aflpp,cxxfilt,4550
29,26100,73428,68878,4550,6.2,2,aflpp,cxxfilt,4550
30,27000,73428,68878,4550,6.2,2,aflpp,cxxfilt,4550
31,27900,73428,68878,4550,6.2,2,aflpp,cxxfilt,4550
32,28800,73428,68878,4550,6.2,2,aflpp,cxxfilt,4550
33,29700,73428,68878,4550,6.2,2,aflpp,cxxfilt,4550
34,30600,73428,68876,4552,6.2,2,aflpp,cxxfilt,4552
35,31500,73428,68876,4552,6.2,2,aflpp,cxxfilt,4552
36,32400,73428,68876,4552,6.2,2,aflpp,cxxfilt,4552
37,33300,73428,68876,4552,6.2,2,aflpp,cxxfilt,4552
38,34200,73428,68875,4553,6.2,2,aflpp,cxxfilt,4553
39,35100,73428,68875,4553,6.2,2,aflpp,cxxfilt,4553
40,36000,73428,68875,4553,6.2,2,aflpp,cxxfilt,4553
41,36900,73428,68874,4554,6.2,2,aflpp,cxxfilt,4554
42,37800,73428,68873,4555,6.2,2,aflpp,cxxfilt,4555
43,38700,73428,68873,4555,6.2,2,aflpp,cxxfilt,4555
44,39600,73428,68873,4555,6.2,2,aflpp,cxxfilt,4555
45,40500,73428,68873,4555,6.2,2,aflpp,cxxfilt,4555
46,41400,73428,68873,4555,6.2,2,aflpp,cxxfilt,4555
47,42300,73428,68873,4555,6.2,2,aflpp,cxxfilt,4555
48,43200,73428,68873,4555,6.2,2,aflpp,cxxfilt,4555
49,44100,73428,68873,4555,6.2,2,aflpp,cxxfilt,4555
50,45000,73428,68873,4555,6.2,2,aflpp,cxxfilt,4555
51,45900,73428,68873,4555,6.2,2,aflpp,cxxfilt,4555
52,46800,73428,68873,4555,6.2,2,aflpp,cxxfilt,4555
53,47700,73428,68873,4555,6.2,2,aflpp,cxxfilt,4555
54,48600,73428,68873,4555,6.2,2,aflpp,cxxfilt,4555
55,49500,73428,68873,4555,6.2,2,aflpp,cxxfilt,4555
56,50400,73428,68873,4555,6.2,2,aflpp,cxxfilt,4555
57,51300,73428,68873,4555,6.2,2,aflpp,cxxfilt,4555
58,52200,73428,68873,4555,6.2,2,aflpp,cxxfilt,4555
59,53100,73428,68873,4555,6.2,2,aflpp,cxxfilt,4555
60,54000,73428,68873,4555,6.2,2,aflpp,cxxfilt,4555
61,54900,73428,68873,4555,6.2,2,aflpp,cxxfilt,4555
62,55800,73428,68873,4555,6.2,2,aflpp,cxxfilt,4555
63,56700,73428,68873,4555,6.2,2,aflpp,cxxfilt,4555
64,57600,73428,68871,4557,6.21,2,aflpp,cxxfilt,4557
65,58500,73428,68870,4558,6.21,2,aflpp,cxxfilt,4558
66,59400,73428,68869,4559,6.21,2,aflpp,cxxfilt,4559
67,60300,73428,68868,4560,6.21,2,aflpp,cxxfilt,4560
68,61200,73428,68868,4560,6.21,2,aflpp,cxxfilt,4560
69,62100,73428,68868,4560,6.21,2,aflpp,cxxfilt,4560
70,63000,73428,68868,4560,6.21,2,aflpp,cxxfilt,4560
71,63900,73428,68868,4560,6.21,2,aflpp,cxxfilt,4560
72,64800,73428,68868,4560,6.21,2,aflpp,cxxfilt,4560
73,65700,73428,68868,4560,6.21,2,aflpp,cxxfilt,4560
74,66600,73428,68868,4560,6.21,2,aflpp,cxxfilt,4560
75,67500,73428,68868,4560,6.21,2,aflpp,cxxfilt,4560
76,68400,73428,68868,4560,6.21,2,aflpp,cxxfilt,4560
77,69300,73428,68866,4562,6.21,2,aflpp,cxxfilt,4562
78,70200,73428,68866,4562,6.21,2,aflpp,cxxfilt,4562
79,71100,73428,68866,4562,6.21,2,aflpp,cxxfilt,4562
80,72000,73428,68866,4562,6.21,2,aflpp,cxxfilt,4562
81,72900,73428,68858,4570,6.22,2,aflpp,cxxfilt,4570
82,73800,73428,68858,4570,6.22,2,aflpp,cxxfilt,4570
83,74700,73428,68858,4570,6.22,2,aflpp,cxxfilt,4570
84,75600,73428,68857,4571,6.23,2,aflpp,cxxfilt,4571
85,76500,73428,68857,4571,6.23,2,aflpp,cxxfilt,4571
86,77400,73428,68855,4573,6.23,2,aflpp,cxxfilt,4573
87,78300,73428,68855,4573,6.23,2,aflpp,cxxfilt,4573
88,79200,73428,68855,4573,6.23,2,aflpp,cxxfilt,4573
89,80100,73428,68855,4573,6.23,2,aflpp,cxxfilt,4573
90,81000,73428,68855,4573,6.23,2,aflpp,cxxfilt,4573
91,81900,73428,68855,4573,6.23,2,aflpp,cxxfilt,4573
92,82800,73428,68855,4573,6.23,2,aflpp,cxxfilt,4573
93,83700,73428,68854,4574,6.23,2,aflpp,cxxfilt,4574
94,84600,73428,68854,4574,6.23,2,aflpp,cxxfilt,4574
95,85500,73428,68854,4574,6.23,2,aflpp,cxxfilt,4574
96,86400,73428,68854,4574,6.23,2,aflpp,cxxfilt,4574
0,0,73428,70569,2859,3.89,3,aflpp,cxxfilt,2859
1,900,73428,69739,3689,5.02,3,aflpp,cxxfilt,3689
2,1800,73428,69529,3899,5.31,3,aflpp,cxxfilt,3899
3,2700,73428,69365,4063,5.53,3,aflpp,cxxfilt,4063
4,3600,73428,69292,4136,5.63,3,aflpp,cxxfilt,4136
5,4500,73428,69159,4269,5.81,3,aflpp,cxxfilt,4269
6,5400,73428,69146,4282,5.83,3,aflpp,cxxfilt,4282
7,6300,73428,69114,4314,5.88,3,aflpp,cxxfilt,4314
8,7200,73428,69083,4345,5.92,3,aflpp,cxxfilt,4345
9,8100,73428,69072,4356,5.93,3,aflpp,cxxfilt,4356
10,9000,73428,69072,4356,5.93,3,aflpp,cxxfilt,4356
11,9900,73428,69060,4368,5.95,3,aflpp,cxxfilt,4368
12,10800,73428,69060,4368,5.95,3,aflpp,cxxfilt,4368
13,11700,73428,69057,4371,5.95,3,aflpp,cxxfilt,4371
14,12600,73428,69042,4386,5.97,3,aflpp,cxxfilt,4386
15,13500,73428,69042,4386,5.97,3,aflpp,cxxfilt,4386
16,14400,73428,69030,4398,5.99,3,aflpp,cxxfilt,4398
17,15300,73428,69030,4398,5.99,3,aflpp,cxxfilt,4398
18,16200,73428,69021,4407,6.0,3,aflpp,cxxfilt,4407
19,17100,73428,69014,4414,6.01,3,aflpp,cxxfilt,4414
20,18000,73428,69014,4414,6.01,3,aflpp,cxxfilt,4414
21,18900,73428,69010,4418,6.02,3,aflpp,cxxfilt,4418
22,19800,73428,69006,4422,6.02,3,aflpp,cxxfilt,4422
23,20700,73428,69006,4422,6.02,3,aflpp,cxxfilt,4422
24,21600,73428,68988,4440,6.05,3,aflpp,cxxfilt,4440
25,22500,73428,68978,4450,6.06,3,aflpp,cxxfilt,4450
26,23400,73428,68974,4454,6.07,3,aflpp,cxxfilt,4454
27,24300,73428,68972,4456,6.07,3,aflpp,cxxfilt,4456
28,25200,73428,68971,4457,6.07,3,aflpp,cxxfilt,4457
29,26100,73428,68971,4457,6.07,3,aflpp,cxxfilt,4457
30,27000,73428,68958,4470,6.09,3,aflpp,cxxfilt,4470
31,27900,73428,68956,4472,6.09,3,aflpp,cxxfilt,4472
32,28800,73428,68956,4472,6.09,3,aflpp,cxxfilt,4472
33,29700,73428,68956,4472,6.09,3,aflpp,cxxfilt,4472
34,30600,73428,68955,4473,6.09,3,aflpp,cxxfilt,4473
35,31500,73428,68941,4487,6.11,3,aflpp,cxxfilt,4487
36,32400,73428,68941,4487,6.11,3,aflpp,cxxfilt,4487
37,33300,73428,68941,4487,6.11,3,aflpp,cxxfilt,4487
38,34200,73428,68908,4520,6.16,3,aflpp,cxxfilt,4520
39,35100,73428,68908,4520,6.16,3,aflpp,cxxfilt,4520
40,36000,73428,68908,4520,6.16,3,aflpp,cxxfilt,4520
41,36900,73428,68908,4520,6.16,3,aflpp,cxxfilt,4520
42,37800,73428,68908,4520,6.16,3,aflpp,cxxfilt,4520
43,38700,73428,68908,4520,6.16,3,aflpp,cxxfilt,4520
44,39600,73428,68905,4523,6.16,3,aflpp,cxxfilt,4523
45,40500,73428,68904,4524,6.16,3,aflpp,cxxfilt,4524
46,41400,73428,68904,4524,6.16,3,aflpp,cxxfilt,4524
47,42300,73428,68904,4524,6.16,3,aflpp,cxxfilt,4524
48,43200,73428,68902,4526,6.16,3,aflpp,cxxfilt,4526
49,44100,73428,68901,4527,6.17,3,aflpp,cxxfilt,4527
50,45000,73428,68901,4527,6.17,3,aflpp,cxxfilt,4527
51,45900,73428,68898,4530,6.17,3,aflpp,cxxfilt,4530
52,46800,73428,68898,4530,6.17,3,aflpp,cxxfilt,4530
53,47700,73428,68898,4530,6.17,3,aflpp,cxxfilt,4530
54,48600,73428,68898,4530,6.17,3,aflpp,cxxfilt,4530
55,49500,73428,68898,4530,6.17,3,aflpp,cxxfilt,4530
56,50400,73428,68898,4530,6.17,3,aflpp,cxxfilt,4530
57,51300,73428,68898,4530,6.17,3,aflpp,cxxfilt,4530
58,52200,73428,68898,4530,6.17,3,aflpp,cxxfilt,4530
59,53100,73428,68898,4530,6.17,3,aflpp,cxxfilt,4530
60,54000,73428,68898,4530,6.17,3,aflpp,cxxfilt,4530
61,54900,73428,68898,4530,6.17,3,aflpp,cxxfilt,4530
62,55800,73428,68898,4530,6.17,3,aflpp,cxxfilt,4530
63,56700,73428,68898,4530,6.17,3,aflpp,cxxfilt,4530
64,57600,73428,68898,4530,6.17,3,aflpp,cxxfilt,4530
65,58500,73428,68897,4531,6.17,3,aflpp,cxxfilt,4531
66,59400,73428,68897,4531,6.17,3,aflpp,cxxfilt,4531
67,60300,73428,68896,4532,6.17,3,aflpp,cxxfilt,4532
68,61200,73428,68896,4532,6.17,3,aflpp,cxxfilt,4532
69,62100,73428,68896,4532,6.17,3,aflpp,cxxfilt,4532
