,period-0s,period-30s,period-60s,period-90s,period-120s,period-150s,period-180s
out-1,163826126.0,156182809.0,158745091.0,157639691.0,158957853.0,160755375.0,159105930.0
out-2,154320799.0,155019833.0,160529732.0,160750322.0,155871410.0,162068126.0,156295656.0
out-3,153610762.0,155380250.0,164046922.0,162103740.0,164810374.0,160852747.0,159333019.0
out-4,159184230.0,155078989.0,158752219.0,158184290.0,160351615.0,161171019.0,161155863.0
out-5,166512897.0,160001104.0,160061799.0,161237494.0,160725481.0,162241304.0,158672906.0
out-6,166182587.0,155795787.0,163532547.0,161915823.0,159328940.0,164690484.0,159854074.0
out-7,167860303.0,157645643.0,161146836.0,158050590.0,161989094.0,161717938.0,157389747.0
out-8,165742424.0,156985568.0,163049788.0,159455320.0,158243015.0,160833271.0,160143234.0
out-9,152939454.0,156284163.0,163854856.0,160597461.0,158916934.0,161845805.0,159624025.0
out-10,169864127.0,153103643.0,162910506.0,159722397.0,157477793.0,162455233.0,157803917.0
ave_total_execs,162004370.9,156147778.9,161663029.6,159965712.8,159667250.9,161863130.2,158937837.1
